Subject,Session,Group,Type,Total
s03,hypno,low,Go,533
s03,hypno,low,NoGo,23
s03,hypno,low,Missed Go,7
s03,hypno,low,Miss NoGo,7
s03,hypno,low,Focus,16
s03,hypno,low,Related thought,2
s03,hypno,low,Sensory,1
s03,hypno,low,MW,11
s03,norm,low,Go,534
s03,norm,low,NoGo,18
s03,norm,low,Missed Go,6
s03,norm,low,Miss NoGo,12
s03,norm,low,Focus,16
s03,norm,low,Related thought,5
s03,norm,low,Sensory,1
s03,norm,low,MW,8
s09,hypno,low,Go,540
s09,hypno,low,NoGo,28
s09,hypno,low,Missed Go,0
s09,hypno,low,Miss NoGo,2
s09,hypno,low,Focus,28
s09,hypno,low,Related thought,2
s09,hypno,low,Sensory,0
s09,hypno,low,MW,0
s09,norm,low,Go,540
s09,norm,low,NoGo,28
s09,norm,low,Missed Go,0
s09,norm,low,Miss NoGo,2
s09,norm,low,Focus,27
s09,norm,low,Related thought,3
s09,norm,low,Sensory,0
s09,norm,low,MW,0
s14,hypno,low,Go,539
s14,hypno,low,NoGo,24
s14,hypno,low,Missed Go,1
s14,hypno,low,Miss NoGo,6
s14,hypno,low,Focus,18
s14,hypno,low,Related thought,0
s14,hypno,low,Sensory,2
s14,hypno,low,MW,10
s14,norm,low,Go,536
s14,norm,low,NoGo,20
s14,norm,low,Missed Go,4
s14,norm,low,Miss NoGo,10
s14,norm,low,Focus,23
s14,norm,low,Related thought,0
s14,norm,low,Sensory,3
s14,norm,low,MW,4
s17,hypno,low,Go,538
s17,hypno,low,NoGo,21
s17,hypno,low,Missed Go,2
s17,hypno,low,Miss NoGo,9
s17,hypno,low,Focus,21
s17,hypno,low,Related thought,8
s17,hypno,low,Sensory,1
s17,hypno,low,MW,0
s17,norm,low,Go,517
s17,norm,low,NoGo,5
s17,norm,low,Missed Go,23
s17,norm,low,Miss NoGo,25
s17,norm,low,Focus,15
s17,norm,low,Related thought,6
s17,norm,low,Sensory,7
s17,norm,low,MW,2
s20,hypno,low,Go,540
s20,hypno,low,NoGo,29
s20,hypno,low,Missed Go,0
s20,hypno,low,Miss NoGo,1
s20,hypno,low,Focus,10
s20,hypno,low,Related thought,16
s20,hypno,low,Sensory,0
s20,hypno,low,MW,4
s20,norm,low,Go,539
s20,norm,low,NoGo,29
s20,norm,low,Missed Go,1
s20,norm,low,Miss NoGo,1
s20,norm,low,Focus,4
s20,norm,low,Related thought,15
s20,norm,low,Sensory,2
s20,norm,low,MW,9
s26,hypno,low,Go,540
s26,hypno,low,NoGo,27
s26,hypno,low,Missed Go,0
s26,hypno,low,Miss NoGo,3
s26,hypno,low,Focus,26
s26,hypno,low,Related thought,2
s26,hypno,low,Sensory,2
s26,hypno,low,MW,0
s26,norm,low,Go,540
s26,norm,low,NoGo,26
s26,norm,low,Missed Go,0
s26,norm,low,Miss NoGo,4
s26,norm,low,Focus,24
s26,norm,low,Related thought,1
s26,norm,low,Sensory,0
s26,norm,low,MW,5
s28,hypno,low,Go,539
s28,hypno,low,NoGo,26
s28,hypno,low,Missed Go,1
s28,hypno,low,Miss NoGo,4
s28,hypno,low,Focus,23
s28,hypno,low,Related thought,5
s28,hypno,low,Sensory,2
s28,hypno,low,MW,0
s28,norm,low,Go,533
s28,norm,low,NoGo,19
s28,norm,low,Missed Go,7
s28,norm,low,Miss NoGo,11
s28,norm,low,Focus,14
s28,norm,low,Related thought,12
s28,norm,low,Sensory,2
s28,norm,low,MW,2
s01,hypno,medium,Go,536
s01,hypno,medium,NoGo,27
s01,hypno,medium,Missed Go,4
s01,hypno,medium,Miss NoGo,2
s01,hypno,medium,Focus,0
s01,hypno,medium,Related thought,4
s01,hypno,medium,Sensory,8
s01,hypno,medium,MW,18
s01,norm,medium,Go,536
s01,norm,medium,NoGo,27
s01,norm,medium,Missed Go,4
s01,norm,medium,Miss NoGo,2
s01,norm,medium,Focus,2
s01,norm,medium,Related thought,15
s01,norm,medium,Sensory,4
s01,norm,medium,MW,9
s02,hypno,medium,Go,539
s02,hypno,medium,NoGo,27
s02,hypno,medium,Missed Go,1
s02,hypno,medium,Miss NoGo,2
s02,hypno,medium,Focus,0
s02,hypno,medium,Related thought,5
s02,hypno,medium,Sensory,12
s02,hypno,medium,MW,13
s02,norm,medium,Go,540
s02,norm,medium,NoGo,26
s02,norm,medium,Missed Go,0
